Inventory Number,Process Number,Section,Image Side,Material,Size,,Mounted,Negative,Conservation Status,Status,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey inv. 29978,12495,Recto-verso,Recto,under research, contact institution,Wood,45.5 x 13 cm,1,recto: c. 30 lines, verso: effaced,No,No,The lines on the verso are effaced.,Assigned,Ann Arbor,IIIrd century A.D.,Unknown,Unknown,Greek,Documentary,Unknown,200,299,,,,,,,,,,,,
Kelsey inv. 3219,16687,front,Verso,WT,14.1 x 7.8 cm,1,3 lines,No,Yes,Broken off at the top.,Unpublished,Ann Arbor,Ist-IInd century A.D.,Unknown,Unknown,Latin,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,
Kelsey inv. 3219,16687,front,Recto,WT,14.1 x 7.8 cm,1,3 lines,No,Yes,Broken off at the top.,Unpublished,Ann Arbor,Ist-IInd century A.D.,Unknown,Unknown,Latin,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,
Kelsey inv. 3336,16688,front,Verso,WT,a: 7 x 14.1 cm, b: 7 x 14.2,2,No,Yes,a: complete, b: partially damaged at the frame. In (a) there are still 4  binding holes. In (b) these holes are damaged. There are no preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",24-130C-O,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,
Kelsey inv. 3336,16688,front,Verso,WT,a: 7 x 14.1 cm, b: 7 x 14.2,2,No,Yes,a: complete, b: partially damaged at the frame. In (a) there are still 4  binding holes. In (b) these holes are damaged. There are no preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",24-130C-O,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,
Kelsey inv. 3336,16688,front,Recto,WT,a: 7 x 14.1 cm, b: 7 x 14.2,2,No,Yes,a: complete, b: partially damaged at the frame. In (a) there are still 4  binding holes. In (b) these holes are damaged. There are no preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",24-130C-O,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,
Kelsey inv. 3336,16688,front,Recto,WT,a: 7 x 14.1 cm, b: 7 x 14.2,2,No,Yes,a: complete, b: partially damaged at the frame. In (a) there are still 4  binding holes. In (b) these holes are damaged. There are no preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",24-130C-O,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,
Kelsey inv. 3337,16689,front-back,Verso,WT,12.3 x 16 cm,1,No,Yes,there are 4  binding holes. There are a few preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",24-130C-O,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,,
Kelsey inv. 3337,16689,front-back,Recto,WT,12.3 x 16 cm,1,No,Yes,there are 4  binding holes. There are a few preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",24-130C-O,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,,
Kelsey inv. 3814,16690,front-back,Verso,WT,2.8 x 8.5 cm,1,No,Yes,Broken off. There are no  binding holes. There are no preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",25-5048-NI,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,,
Kelsey inv. 3814,16690,front-back,Recto,WT,2.8 x 8.5 cm,1,No,Yes,Broken off. There are no  binding holes. There are no preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",25-5048-NI,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,,
Kelsey inv. 3819,16691,front-back,Verso,WT,a: 7 x 10 cm, b: 7 x 10 cm,2,No,Yes,There are still 6  binding holes. There are no preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",26-B16F-P,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,
Kelsey inv. 3819,16691,front-back,Verso,WT,a: 7 x 10 cm, b: 7 x 10 cm,2,No,Yes,There are still 6  binding holes. There are no preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",26-B16F-P,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,
Kelsey inv. 3819,16691,front-back,Recto,WT,a: 7 x 10 cm, b: 7 x 10 cm,2,No,Yes,There are still 6  binding holes. There are no preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",26-B16F-P,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,
Kelsey inv. 3819,16691,front-back,Recto,WT,a: 7 x 10 cm, b: 7 x 10 cm,2,No,Yes,There are still 6  binding holes. There are no preserved traces of incisions.,Unpublished,Ann Arbor,Ist-IInd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",26-B16F-P,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,
Kelsey inv. 3827,16692,front-back,Verso,WT,5 x 14 cm,1,No,Yes,Broken off at the left-hand side. The preserved part is broken in two pieces. There are no  binding holes. There are traces of incisions on one side and written letters on the other.,Unpublished,Ann Arbor,Ist-IInd century A.D.,unknown,unknown,Greek,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,,
Kelsey inv. 3827,16692,front-back,Recto,WT,5 x 14 cm,1,No,Yes,Broken off at the left-hand side. The preserved part is broken in two pieces. There are no  binding holes. There are traces of incisions on one side and written letters on the other.,Unpublished,Ann Arbor,Ist-IInd century A.D.,unknown,unknown,Greek,Documentary,Unknown,NL,1,199,,,,,,,,,,,,,,,
Kelsey inv. 4682,16702,front-back,Verso,Wood,8.7 x 9.5 cm,1,No,Yes,Broken off at all sides. The ink is effaced at many points.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",24-4032-H,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 4682,16702,front-back,Recto,Wood,8.7 x 9.5 cm,1,No,Yes,Broken off at all sides. The ink is effaced at many points.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",24-4032-H,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 4972,16632,front,Recto,Limestone,6 x 10.2 cm,1,3 lines,No,Yes,"Stele-shaped label with two piercings at the top, inscribed on one side with three lines of Demotic with black ink. On the other side is a drawing of Osiris.",Published,Ann Arbor,(end) Ist century B.C. - (early) I century A.D.,"Dendera, lower Thebaid, Upper Egypt, province of Egypt","Dendera, lower Thebaid, Upper Egypt, province of Egypt",1924/1925: purchased by Prof. Boak in Egypt,Demotic,Documentary,Unknown,Mummy label,Wsir Wrše s3 P3-'hm-p3-šr-dhwtj,Osiris Orseus son of Pachumis-Psenthotes,,"S. P. Vleeming, Demotic and Greek-Demotic Mummy Labels and Related Short Texts Gathered from Many Publications, SD (forthcoming) [= ST ii 372]",NL,-25,50,,,,,,,,
Kelsey inv. 6237,16700,front-back,Verso,Wood,6.7 x 6.5 cm,1,7 lines,No,Yes,Broken off at the right-hand side. The binding holes are not preserved. The text is written on the back of the tablet. The side with the wax does preserve any incisions.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,Unknown,Unknown,Latin,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 6237,16700,front-back,Recto,Wood,6.7 x 6.5 cm,1,7 lines,No,Yes,Broken off at the right-hand side. The binding holes are not preserved. The text is written on the back of the tablet. The side with the wax does preserve any incisions.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,Unknown,Unknown,Latin,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 6276,16699,front,Verso,WT, 5.2 x 11.8 cm,1,No,Yes,Broken off at the left-hand side. The binding holes are not preserved.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",28-B132A-P,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 6276,16699,front,Recto,WT, 5.2 x 11.8 cm,1,No,Yes,Broken off at the left-hand side. The binding holes are not preserved.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",28-B132A-P,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 6277,16698,front,Verso,WT,2.7 x 16.2 cm,1,No,Yes,Broken off at the right-hand side. Three binding holes are preserved.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",28-B132A-P,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 6277,16698,front,Recto,WT,2.7 x 16.2 cm,1,No,Yes,Broken off at the right-hand side. Three binding holes are preserved.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",28-B132A-P,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 6278,16697,front,Verso,Wood,14 x 2.8 cm,1,2 lines,No,Yes,damaged on both sides. Traces of ink.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",28-C67K-H,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,
Kelsey inv. 6278,16697,front,Recto,Wood,14 x 2.8 cm,1,2 lines,No,Yes,damaged on both sides. Traces of ink.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",28-C67K-H,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,
Kelsey inv. 6279,16696,front,Verso,WT,8.2 x 10 cm,1,No,Yes,damaged on both sides.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",28-B131-N,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 6279,16696,front,Recto,WT,8.2 x 10 cm,1,No,Yes,damaged on both sides.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",28-B131-N,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 6280,16694,front,Verso,WT,2.8 x 11 cm,1,4 lines,No,Yes,Broken off at all sides,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",29-B178*-A,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,
Kelsey inv. 6280,16694,front,Recto,WT,2.8 x 11 cm,1,4 lines,No,Yes,Broken off at all sides,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",29-B178*-A,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,
Kelsey inv. 6281,16695,front,Verso,WT,2.5 x 14.1 cm,1,No,Yes,Broken off at the left- and the right-hand sides. A few traces of incisions.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",29-B178*-A,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv. 6281,16695,front,Recto,WT,2.5 x 14.1 cm,1,No,Yes,Broken off at the left- and the right-hand sides. A few traces of incisions.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",29-B178*-A,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv. 6282,16693,front-back,Verso,WT,2.8 x 10.8 cm,1,No,Yes,Broken off at the left-hand side. There are no  binding holes.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",28-C67K-L,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 6282,16693,front-back,Recto,WT,2.8 x 10.8 cm,1,No,Yes,Broken off at the left-hand side. There are no  binding holes.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",28-C67K-L,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 63.3.3,18047,recto-verso,Recto,Pap,26 x 15 cm,1,"recto 7 lines (across), verso 4 lines (along)",No,"missing pith, folds",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,"Unknown, said to be from site of Fustat","bought Oct 24, 1933; gift of Mr and Mrs Easton T; Kelsey, May 25, 1963",Arabic,documentary,Unknown,two texts, petition?,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,
Kelsey inv. 64.2.1,18049,recto-verso,Verso,Paper,dimensions of text 11.5 x 16.5 cm,1,"recto 18 lines (13 in Coptic, 5 in Arabic), verso 17 lines (Arabic)",No,"laid paper, European (crown watermark); leaf from codex; water and pest damage, but intact",black ink and red for section breaks,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Coptic,Literary,Unknown,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,
Kelsey inv. 64.2.1,18049,recto-verso,Recto,Paper,dimensions of text 11.5 x 16.5 cm,1,"recto 18 lines (13 in Coptic, 5 in Arabic), verso 17 lines (Arabic)",No,"laid paper, European (crown watermark); leaf from codex; water and pest damage, but intact",black ink and red for section breaks,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Coptic,Literary,Unknown,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,
Kelsey inv. 64.2.2,18050,recto-verso,Verso,Paper,26 x 37.4 cm, dimensions of text 17.8 x 25.5 cm,1,"4 columns per page, 21 lines per column",No,laid paper, leaf from codex,"text ruled in gold, blue, green, red; chapter headings in gold with red decoration",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Unknown,"floral illumination in gold surrounding text; literary, verse, Urdu",Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,
Kelsey inv. 64.2.2,18050,recto-verso,Recto,Paper,26 x 37.4 cm, dimensions of text 17.8 x 25.5 cm,1,"4 columns per page, 21 lines per column",No,laid paper, leaf from codex,"text ruled in gold, blue, green, red; chapter headings in gold with red decoration",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Unknown,"floral illumination in gold surrounding text; literary, verse, Urdu",Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,
Kelsey inv. 64.2.4,18048,recto-verso,Recto,Par,34.5 x 26 cm,1,"recto (hair side) 15 lines, verso (flesh) 15 lines",No,leaf from codex,"black ink with red for dots for vowels, gold circles for verse markers with black, yellow, and red dots, gold for chapter headings",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Qur’an,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,
Kelsey inv. 64.2.7,18051,recto-verso,Verso,Kelsey. inv. 64.2.8,Paper,19.5 x 25.4 cm,1,7 lines per page,No,"3 leaves from codex, bound with adhesive; pest damage, some repairs with laid paper","black ink, chapter headings in gold, floral verse markers in gold and blue, gold and blue mandorla as chapter marker; naskhi script",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Qur’an,"Qur’an, 3:200--4:12",Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,
Kelsey inv. 64.2.7,18051,recto-verso,Recto,Kelsey. inv. 64.2.8,Paper,19.5 x 25.4 cm,1,7 lines per page,No,"3 leaves from codex, bound with adhesive; pest damage, some repairs with laid paper","black ink, chapter headings in gold, floral verse markers in gold and blue, gold and blue mandorla as chapter marker; naskhi script",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Qur’an,"Qur’an, 3:200--4:12",Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,
Kelsey inv. 64.2.8,18052,recto-verso,Verso,Kelsey. inv. 64.2.7,Paper,19.5 x 25.4 cm,1,7 lines per page,No,"3 leaves from codex, bound with adhesive; pest damage, some repairs with laid paper","black ink, chapter headings in gold, floral verse markers in gold and blue, gold and blue mandorla as chapter marker; naskhi script",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Qur’an,"Qur’an, 3:200--4:12",Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,
Kelsey inv. 64.2.8,18052,recto-verso,Recto,Kelsey. inv. 64.2.7,Paper,19.5 x 25.4 cm,1,7 lines per page,No,"3 leaves from codex, bound with adhesive; pest damage, some repairs with laid paper","black ink, chapter headings in gold, floral verse markers in gold and blue, gold and blue mandorla as chapter marker; naskhi script",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Qur’an,"Qur’an, 3:200--4:12",Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,
Kelsey inv. 67.1.31,7876,Recto +Verso,Verso,Under research, contact institution,Pap,24.5 x 33 cm,"recto 16 lines (across), verso 2 lines (along)",Yes,No,Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,"MA, NL",700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.31,7876,Recto +Verso,Recto,Under research, contact institution,Pap,24.5 x 33 cm,"recto 16 lines (across), verso 2 lines (along)",Yes,No,Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,"MA, NL",700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.32,18053,recto-verso,Verso,Pap,12 x 28 cm,1,"recto 22 lines (across), verso 18 lines (along) plus 1 line along right margin",No,"missing pith, delaminated fibers",t,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,two texts: both recto and verso are fragments of letters,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,
Kelsey inv. 67.1.32,18053,recto-verso,Recto,Pap,12 x 28 cm,1,"recto 22 lines (across), verso 18 lines (along) plus 1 line along right margin",No,"missing pith, delaminated fibers",t,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,two texts: both recto and verso are fragments of letters,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,
Kelsey inv. 67.1.33,18054,recto-verso,Verso,Pap,24 x 18 cm,1,recto 8 lines (across) plus 2 lines along right margin plus 2 lines upside down in top left corner,verso 2 lines (along),No,"missing pith, delaminated fibers",Unpublished,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment of private letter with address on verso,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.33,18054,recto-verso,Recto,Pap,24 x 18 cm,1,recto 8 lines (across) plus 2 lines along right margin plus 2 lines upside down in top left corner,verso 2 lines (along),No,"missing pith, delaminated fibers",Unpublished,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment of private letter with address on verso,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.34,18055,recto,Recto,Pap,24.5 x 25 cm,1,"recto 13 lines (across), verso blank",No,missing pith,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment family letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.35,18056,recto-verso,Verso,Pap,24.5 x 25 cm,1,"recto 13 lines (across), verso 1 line (along)",No,"fire damage, dirt","dal with backward bending top hook, backward bending final ya’ lengthened, diacritics: two diagonal atop ta’, or under medial ya’, one dot over qaf.  recto has neat, professional hand, differs from verso. 2nd-3rd c script",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,"fragment private letter asking for news, verso contains note under address that letter was received",Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,
Kelsey inv. 67.1.35,18056,recto-verso,Recto,Pap,24.5 x 25 cm,1,"recto 13 lines (across), verso 1 line (along)",No,"fire damage, dirt","dal with backward bending top hook, backward bending final ya’ lengthened, diacritics: two diagonal atop ta’, or under medial ya’, one dot over qaf.  recto has neat, professional hand, differs from verso. 2nd-3rd c script",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,"fragment private letter asking for news, verso contains note under address that letter was received",Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,
Kelsey inv. 67.1.36,18057,recto-verso,Recto,Pap,3.5 x 8.5 cm plus 2 small fragments,1,"recto 9 lines (across), verso blank",No,"fire damage, dirt","diacritics: two diagonal beneath medial ya’, two directly atop each other or diagonally over ta’, three dots in a line over stroke for shin, fa’ written with single dot underneath",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment of private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,
Kelsey inv. 67.1.37,18058,recto-verso,Verso,Pap,13.5 x 30.5 cm,1,"p 1--right margin 4.5 cm, 34 lines (across)","p 2--left margin 4 cm, 30 lines (along)","p 3--right margin 4.2 cm, 34 lines (along)","p4--left margin 3.1 cm, 29 lines (across)",No,"fragile, pest damage, effaced ink, dirt",VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,fragment of private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),smirza@umich.edu,NL,700,899,,,,,,,,,,,
Kelsey inv. 67.1.37,18058,recto-verso,Recto,Pap,13.5 x 30.5 cm,1,"p 1--right margin 4.5 cm, 34 lines (across)","p 2--left margin 4 cm, 30 lines (along)","p 3--right margin 4.2 cm, 34 lines (along)","p4--left margin 3.1 cm, 29 lines (across)",No,"fragile, pest damage, effaced ink, dirt",VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,fragment of private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),smirza@umich.edu,NL,700,899,,,,,,,,,,,
Kelsey inv. 67.1.39,18059,recto-verso,Verso,Pap,27 x 15 cm,1,"recto 8 lines (across), verso 9 lines (across) ninety degrees to recto",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.39,18059,recto-verso,Recto,Pap,27 x 15 cm,1,"recto 8 lines (across), verso 9 lines (across) ninety degrees to recto",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.40,7877,Recto +Verso,Verso,Under research, contact institution,Pap,12 x 13 cm,1,"recto 14 lines (along), verso 4 lines (across)",No,No,Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknwown,Unknwown,Arabic,Documentary,"letter, intact","MA, NL",700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.40,7877,Recto +Verso,Recto,Under research, contact institution,Pap,12 x 13 cm,1,"recto 14 lines (along), verso 4 lines (across)",No,No,Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknwown,Unknwown,Arabic,Documentary,"letter, intact","MA, NL",700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.41,18060,recto-verso,Verso,Pap,10.5 x 6.5 cm,1,"recto 3 lines (along), verso 4 lines (across) upside down to recto",No,"fragile, dirt, salt accretions",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment of account,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.41,18060,recto-verso,Recto,Pap,10.5 x 6.5 cm,1,"recto 3 lines (along), verso 4 lines (across) upside down to recto",No,"fragile, dirt, salt accretions",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment of account,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
